2015-03-16, 1
2011-12-31, 4
2015-11-26, 3
2010-07-24, 5
2015-03-13, 1
2013-12-01, 1
2015-03-03, 1
2015-04-04, 1
2015-11-02, 2
2010-08-11, 1
2017-01-05, 1
2016-12-11, 4
2017-06-27, 1
2015-03-14, 1
2015-03-10, 1
2015-03-30, 1
2016-12-15, 1
2015-05-01, 1
2011-04-12, 2
2015-03-12, 2
2013-08-25, 3
2010-08-16, 5
2016-06-27, 2
2010-10-07, 2
2017-01-10, 1
2012-05-12, 5
2016-11-06, 2
2010-10-30, 4
2016-01-16, 1
2010-05-01, 1
2010-03-03, 3
2017-11-04, 1
2010-01-22, 4
2012-01-01, 4
2017-02-11, 5
2017-02-09, 5
2015-05-20, 4
2010-08-19, 1
2010-02-13, 3
2017-07-10, 1
2016-07-31, 6
2012-05-15, 1
2016-12-01, 2
2017-02-08, 6
2016-08-16, 4
2010-04-08, 1
2016-07-03, 2
2015-09-07, 1
2011-07-09, 3
2015-05-15, 5
2012-04-18, 3
2016-07-27, 4
2013-01-12, 1
2010-08-26, 2
2017-08-12, 2
2017-05-08, 4
2011-12-15, 3
2010-09-19, 1
2017-09-03, 3
2010-08-25, 2
2017-01-26, 1
2010-03-27, 1
2012-05-17, 2
2015-11-23, 1
2014-07-07, 1
2010-08-30, 1
2010-02-03, 2
2015-04-11, 1
2012-05-09, 1
2014-01-16, 1
2016-10-18, 1
2011-12-14, 1
2014-09-16, 2
2017-09-20, 1
2012-04-20, 5
2013-12-15, 4
2010-01-15, 2
2015-04-03, 1
2012-09-22, 9
2015-05-24, 1
2014-03-28, 1
2017-01-22, 1
2017-08-15, 3
2011-12-20, 1
2017-05-12, 3
2017-03-15, 1
2017-11-23, 2
2016-07-10, 1
2013-08-26, 2
2017-04-16, 2
2016-08-04, 1
2016-07-13, 4
2010-04-19, 1
2016-07-08, 2
2015-10-17, 1
2016-07-30, 3
2013-11-30, 1
2015-10-16, 12
2015-10-18, 9
2017-04-20, 4
2017-11-07, 1
2013-07-12, 1
2011-04-13, 2
2017-08-29, 1
2010-01-14, 5
2017-01-01, 6
2010-03-26, 12
2011-07-11, 1
2014-01-12, 4
2014-08-07, 1
2014-06-09, 1
2014-02-27, 2
2010-09-08, 3
2014-03-16, 2
2014-09-13, 3
2017-05-07, 2
2015-10-06, 2
2017-09-02, 3
2017-04-14, 6
2015-02-25, 2
2017-01-25, 1
2011-01-06, 1
2011-04-23, 1
2017-04-06, 3
2017-04-22, 1
2017-09-08, 1
2011-04-11, 1
2017-08-20, 1
2014-02-11, 5
2015-10-21, 3
2014-01-13, 1
2015-03-09, 2
2015-04-16, 1
2015-05-22, 1
2010-08-09, 20
2017-05-02, 3
2013-12-09, 6
2010-07-23, 10
2016-08-10, 1
2013-12-02, 2
2011-12-09, 1
2013-12-08, 2
2017-03-25, 2
2017-11-20, 2
2016-10-21, 1
2013-12-07, 14
2017-11-22, 1
2014-09-15, 2
2017-08-30, 2
2012-04-01, 7
2010-11-25, 1
2017-05-26, 2
2017-04-21, 2
2016-07-12, 3
2013-12-18, 1
2015-05-10, 7
2017-02-17, 1
2010-11-06, 2
2015-10-15, 12
2010-08-17, 2
2012-04-27, 3
2012-06-06, 2
2016-08-17, 1
2015-05-12, 1
2017-05-01, 1
2010-07-22, 18
2017-10-09, 3
2015-05-19, 4
2012-11-08, 1
2016-02-14, 6
2014-09-17, 5
2010-07-21, 1
2017-02-12, 1
2016-11-01, 3
2012-05-01, 3
2010-02-12, 8
2016-04-27, 1
2017-01-09, 1
2010-10-16, 6
2015-12-12, 2
2017-11-26, 6
2013-12-16, 2
2013-07-29, 1
2015-10-23, 1
2010-01-16, 4
2013-12-05, 8
2017-01-03, 1
2016-10-30, 1
2015-05-18, 5
2016-07-29, 2
2014-07-25, 1
2015-06-03, 2
2010-08-22, 2
2016-08-29, 1
2010-08-20, 2
2010-03-30, 2
2011-12-19, 3
2017-01-21, 1
2012-04-17, 2
2017-04-07, 1
2013-11-28, 2
2016-11-03, 4
2010-10-13, 2
2016-07-02, 6
2013-08-24, 1
2010-08-08, 1
2010-02-02, 1
2014-08-20, 1
2014-02-18, 1
2014-01-11, 4
2014-02-26, 2
2016-04-02, 2
2017-05-13, 3
2017-09-09, 2
2015-04-10, 5
2012-05-03, 1
2010-08-10, 4
2010-07-27, 1
2012-04-14, 8
2014-09-21, 1
2014-08-19, 3
2017-01-16, 2
2011-08-04, 1
2016-08-20, 1
2014-03-03, 1
2016-07-09, 2
2016-12-19, 1
2017-07-16, 1
2013-12-10, 2
2010-08-12, 10
2015-05-21, 4
2014-07-11, 4
2014-02-25, 6
2010-08-18, 4
2014-04-30, 1
2010-07-25, 1
2017-11-08, 1
2014-02-17, 1
2017-08-19, 2
2017-06-03, 1
2014-02-10, 2
2011-04-27, 7
2017-04-13, 6
2010-08-02, 2
2011-04-05, 2
2010-09-17, 1
2014-08-22, 1
2013-12-19, 2
2013-12-04, 2
2011-01-09, 5
2015-07-19, 1
2012-06-29, 1
2015-04-12, 5
2016-04-05, 2
2013-12-11, 2
2017-05-16, 1
2013-09-05, 1
2011-09-22, 4
2016-07-15, 2
2010-08-07, 6
2010-01-18, 7
2017-05-03, 2
2014-02-22, 1
2014-05-01, 1
2011-11-09, 6
2012-11-23, 3
2010-02-05, 1
2010-01-13, 8
