ID,github_url,architecture,continuous_integration,community,documentation,history,license,management,repository_size,unit_test,stars,class
1,https://github.com/Netflix/SimianArmy,0.855263,1,8,0.329829,12.59375,1,5.21875,16086,0.321283,3717,project
2,https://github.com/mongodb/mongo,0.859924,0,17,0.201783,342.101135,1,10.662921,1922831,0.01529,8826,project
3,https://github.com/mono/mono,0.976082,1,17,0.110074,99.308945,1,13.97561,6294836,0.323889,4292,project
4,https://github.com/mozilla/socorro,0.850837,1,13,0.164479,97.484535,1,29.082474,147229,0.532899,262,project
5,https://github.com/FFmpeg/FFmpeg,0.892072,0,17,0.131484,445.285706,1,2.178571,801876,0.012306,3367,project
6,https://github.com/puppetlabs/puppet,0.979446,1,32,0.120113,159.075623,1,32.117645,224141,0.495465,3818,project
7,https://github.com/bitcoin/bitcoin,0.955645,1,15,0.055055,175.044769,1,91.447762,256487,0.148008,8549,project
8,https://github.com/scrapy/scrapy,0.910596,1,6,0.22669,61.51852,1,14.098765,22162,0.407252,12643,project
9,https://github.com/django/django,0.722008,0,37,0.191432,241.775864,1,39.09483,201879,0.761899,18123,project
10,https://github.com/ansible/ansible,0.868613,1,96,0.222524,398.810822,1,289.67569,66985,0.139643,15407,project
11,https://github.com/libgit2/libgit2,0.931224,1,9,0.181547,109.421051,1,39.578945,143897,0.058016,5474,project
12,https://github.com/mongodb/mongo-php-driver,0.904762,1,4,0.217498,65.397263,1,11.780822,8090,0,140,project
13,https://github.com/xbmc/xbmc,0.83711,0,59,0.169608,406.568359,1,51.129498,1387572,0.101906,4536,project
14,https://github.com/facebook/folly,0.973592,0,48,0.246962,40,1,4.764706,106860,0.378213,6195,project
15,https://github.com/github/github-services,0.989848,1,103,0.046805,37.927711,1,12.578313,18988,0.518582,1759,project
16,https://github.com/mono/MonoGame,0.907264,0,21,0.226574,141.27272,1,57.348484,146667,0.055205,3204,project
17,https://github.com/twitter/twitter-cldr-rb,0.941964,1,3,0.001866,27.605263,1,4.078947,832159,0.454912,471,project
18,https://github.com/mozilla/kitsune,0.769759,1,6,0.110113,109,1,41.852459,104614,0.413946,340,project
19,https://github.com/github/janky,0.911765,1,14,0.150212,14.078947,1,4.684211,3634,0.161833,2399,project
20,https://github.com/twitter/commons,0.975884,1,15,0.284714,24.869564,1,5.869565,68765,0.380781,1058,project
21,https://github.com/composer/composer,0.866856,1,45,0.206972,114.829788,1,85.38298,42595,0.21019,7064,project
22,https://github.com/WordPress/WordPress,0.974406,0,12,0.281429,85.824074,1,1.185185,271013,0,6972,project
23,https://github.com/reddit/reddit,0.917012,0,13,0.171384,75.716049,1,16.654322,137540,0.018747,10346,project
24,https://github.com/fish-shell/fish-shell,0.983051,1,9,0.235363,28.647886,1,24.830986,63502,0.305917,5444,project
25,https://github.com/libgit2/pygit2,0.878049,1,10,0.2306,19.254902,1,10.019608,11224,0,794,project
26,https://github.com/twitter/twemcache,0.96875,1,2,0.171642,2.521739,1,1.347826,13740,0,726,project
27,https://github.com/apache/hive,0.994352,0,11,0.156951,105.955559,1,0.622222,1002768,0.145161,821,project
28,https://github.com/apache/hbase,0.991093,0,18,0.211803,298.413788,1,0.37931,788923,0.227263,587,project
29,https://github.com/apache/sqoop,1,0,5,0.268362,27.244444,1,0.111111,75520,0.263564,172,project
30,https://github.com/mozilla/zamboni,0.799458,1,15,0.107678,385.692322,1,47.461536,151496,0.840787,480,project
31,https://github.com/joyent/http-parser,1,1,22,0.114787,3.62963,1,3.296296,5440,0.933538,2519,project
32,https://github.com/zfsonlinux/zfs,0.769424,0,18,0.196737,34.763157,1,43.197369,191640,0.102744,1663,project
33,https://github.com/celery/celery,0.91,1,2,0.120399,118.971832,1,41.901409,42716,0.033409,4440,project
34,https://github.com/apache/mesos,0.969697,1,20,0.229349,99.153847,1,1.346154,162565,0.276651,2045,project
35,https://github.com/openemr/openemr,0.851146,0,7,0.23039,16.081633,1,1,1154240,0.001016,275,project
36,https://github.com/facebook/php-webdriver,0.971154,1,7,0.481005,9.02381,1,4.547619,4334,0.061171,1081,project
37,https://github.com/google/signet,0.705882,1,3,0.203855,3.666667,1,1.018519,7506,0.552118,163,project
38,https://github.com/twitter/twemproxy,0.849057,1,5,0.137512,14.891892,1,8.945946,16020,0,5015,project
39,https://github.com/apache/activemq,0.994152,0,8,0.24346,37.770832,1,1.5625,391731,0.350076,419,project
