,#commits,duration,max y,max y pos,mean y,median y,sum y,peakup,avg delta ups,min amplitude,avg amplitude,max amplitude,mean +gradient,mean -gradient
3015,6043.0,678.0,66.0,414.0,8.91297935103,6.0,6043.0,209.0,3.23076923077,0.0151515151515,0.105118167319,0.69696969697,5.24581005587,-5.8934169279
3016,731.0,340.0,45.0,281.0,2.15,0.0,731.0,67.0,5.04545454545,0.0222222222222,0.119734660033,0.866666666667,1.74789915966,-4.27722772277
3017,296.0,384.0,16.0,89.0,0.770833333333,0.0,296.0,54.0,6.90566037736,0.0625,0.243055555556,0.9375,0.741324921136,-3.56060606061
3018,490.0,260.0,29.0,174.0,1.88461538462,0.0,490.0,58.0,3.94736842105,0.0344827586207,0.168846611177,1.0,1.68306010929,-4.03947368421
3019,9939.0,636.0,112.0,13.0,15.6273584906,12.0,9939.0,178.0,3.56497175141,0.00892857142857,0.088683788122,0.428571428571,7.91104294479,-8.47249190939
3020,17874.0,458.0,197.0,315.0,39.0262008734,40.0,17874.0,135.0,3.38805970149,0.00507614213198,0.0858808046625,0.710659898477,12.6477732794,-14.7333333333
3021,3959.0,519.0,80.0,439.0,7.62813102119,4.0,3959.0,143.0,3.61267605634,0.0125,0.108916083916,0.975,5.41390728477,-7.51851851852
3022,30644.0,1130.0,227.0,269.0,27.1185840708,21.0,30644.0,336.0,3.30447761194,0.00440528634361,0.0757551919446,0.603524229075,13.105982906,-14.0698529412
3025,1743.0,343.0,385.0,1.0,5.08163265306,2.0,1743.0,95.0,3.56382978723,0.0025974025974,0.010963773069,0.0727272727273,2.39814814815,-7.15079365079
3026,31489.0,572.0,172.0,526.0,55.0506993007,51.0,31489.0,172.0,3.30409356725,0.00581395348837,0.136864521363,0.738372093023,19.6678082192,-20.9784946237
3027,1033.0,393.0,20.0,230.0,2.62849872774,1.0,1033.0,106.0,3.62857142857,0.05,0.201886792453,0.9,2.21052631579,-3.73793103448
3028,231.0,206.0,37.0,1.0,1.1213592233,0.0,231.0,27.0,7.53846153846,0.027027027027,0.131131131131,0.567567567568,0.827586206897,-5.77419354839
3029,589.0,450.0,19.0,323.0,1.30888888889,0.0,589.0,76.0,5.78666666667,0.0526315789474,0.259695290859,0.947368421053,1.14164305949,-4.15625
3030,19229.0,623.0,122.0,409.0,30.8651685393,27.0,19229.0,189.0,3.25531914894,0.00819672131148,0.167837626854,0.72131147541,16.2075471698,-17.0098684211
3031,587.0,543.0,26.0,3.0,1.08103130755,0.0,587.0,87.0,6.23255813953,0.0384615384615,0.13041556145,0.884615384615,0.774193548387,-3.12037037037
3032,1005.0,418.0,26.0,255.0,2.4043062201,0.0,1005.0,83.0,5.0,0.0384615384615,0.166357738647,0.653846153846,1.48553054662,-4.33962264151
3033,487.0,434.0,18.0,37.0,1.12211981567,0.0,487.0,75.0,5.60810810811,0.0555555555556,0.16962962963,0.833333333333,0.704347826087,-2.88636363636
3034,2430.0,376.0,45.0,273.0,6.46276595745,3.0,2430.0,90.0,4.12359550562,0.0222222222222,0.146913580247,0.777777777778,3.50649350649,-5.64583333333
3035,3260.0,611.0,136.0,384.0,5.33551554828,1.0,3260.0,124.0,4.91869918699,0.00735294117647,0.0813567362429,1.0,3.81603773585,-8.70430107527
