2011-10-11, 3
2012-05-06, 1
2016-06-28, 1
2012-06-12, 2
2012-06-24, 1
2014-12-18, 2
2012-04-06, 3
2011-08-22, 7
2013-06-04, 1
2012-03-22, 8
2012-03-08, 2
2012-09-25, 3
2015-07-06, 1
2012-01-16, 1
2014-09-25, 1
2014-08-12, 1
2014-02-09, 1
2013-01-25, 7
2012-05-15, 3
2011-10-21, 2
2011-09-23, 3
2014-10-15, 3
2014-10-27, 2
2011-10-06, 1
2015-02-03, 1
2013-08-03, 1
2016-01-17, 1
2013-12-13, 4
2014-10-28, 1
2014-06-19, 1
2017-07-26, 1
2014-05-06, 2
2012-10-05, 1
2012-07-27, 1
2013-01-23, 2
2012-08-15, 2
2012-09-14, 2
2013-12-12, 1
2015-12-17, 1
2017-10-19, 1
2013-04-30, 1
2012-11-12, 6
2013-01-17, 2
2017-08-24, 4
2011-12-03, 3
2013-10-14, 1
2015-08-18, 1
2011-12-05, 3
2011-09-03, 1
2012-10-17, 5
2017-11-15, 1
2012-03-27, 1
2016-07-29, 2
2012-08-08, 1
2015-08-05, 1
2016-02-09, 1
2011-11-24, 1
2014-11-26, 1
2015-09-29, 1
2011-08-12, 62
2012-11-13, 1
2016-02-23, 1
2013-03-09, 1
2013-04-16, 1
2012-04-10, 2
2014-05-07, 3
2013-04-05, 1
2012-07-19, 5
2012-10-19, 1
2012-04-02, 2
2016-08-29, 1
2014-07-04, 1
2016-07-26, 1
2014-03-27, 1
2012-02-24, 1
2013-04-22, 1
2016-06-26, 1
2011-10-14, 1
2015-07-29, 1
2016-07-27, 1
2017-11-03, 1
2012-12-13, 2
2012-06-13, 3
2015-02-10, 1
2013-06-13, 2
2013-06-14, 4
2014-02-10, 1
2012-02-03, 1
2011-12-16, 4
2012-02-09, 2
2014-10-10, 3
2012-10-25, 1
2015-04-14, 3
2013-08-06, 1
2017-12-05, 1
2013-06-22, 2
2013-04-08, 1
2012-11-15, 9
2013-01-10, 1
2013-04-26, 4
2012-10-16, 3
2012-08-27, 1
2011-08-29, 2
2015-03-06, 1
2017-08-30, 1
2014-03-02, 1
2016-11-30, 1
2012-02-28, 1
2011-12-22, 2
2016-02-17, 1
2017-11-16, 1
2013-08-05, 1
2012-10-21, 1
2017-09-13, 7
2011-12-28, 9
2013-01-26, 3
2016-08-25, 1
2015-08-26, 1
2015-07-09, 1
2012-12-11, 4
2012-04-19, 2
2012-09-20, 1
2017-04-27, 1
2012-06-14, 2
2014-02-06, 1
2013-01-28, 1
2016-03-29, 4
2011-10-19, 5
2013-07-16, 1
2015-07-17, 1
2012-02-20, 1
2011-08-25, 18
2015-05-05, 1
2012-03-09, 1
2012-04-22, 1
2013-10-21, 2
2014-09-24, 3
2015-11-18, 1
2013-10-12, 1
2012-06-20, 1
2016-07-08, 1
2012-06-27, 1
2014-06-05, 1
2013-03-19, 1
2012-02-08, 2
2011-10-18, 1
2012-12-02, 1
2015-07-28, 1
2014-11-08, 1
2013-04-04, 2
2011-10-22, 1
2012-05-09, 3
2012-12-07, 6
2016-06-10, 3
2012-09-09, 1
2014-07-18, 1
2013-04-17, 1
